CLONE;FRY.gebvs;FRY.gegvs;AGY.gebvs;AGY.gegvs;PLH.gebvs;PLH.gegvs;DMC.gebvs;DMC.gegvs;DRY.gebvs;DRY.gegvs
25;BGM0069;18.9044466923178;20.0768144170535;23.0554620559646;24.0772025775469;2.11444637692857;2.11038966102365;35.1832936939233;35.6834066861994;5.82425973442862;6.27048423877396
26;BGM0070;17.3889654472128;13.7651590572903;18.8096865637968;17.749152589667;1.94017080180841;1.92204170335991;35.64675978239;35.822977551706;5.27436715868056;4.33032823827239
27;BGM0073;17.4131512941189;13.9151528891409;18.7866482990465;17.701306340459;1.94868110811539;1.93134105272861;35.5979891659522;35.8072148881379;5.28347622733825;4.39035734762823
28;BGM0076;18.1824370847699;16.3153568522247;23.9783471939345;24.5778818192432;1.8435896232231;1.82520409801478;34.9041122299817;34.9765256880544;5.57006683691328;5.23653930389493
29;BGM0080;18.9351887559744;20.2335018288385;23.0131249237746;23.9483038957441;2.10231798795609;2.09445791834115;35.335160988318;35.8724096951871;5.84338734026869;6.3446242126256
30;BGM0083;18.3768034579115;20.1675416601385;22.985807682867;24.2522979778258;2.18938921890199;2.23428459209978;33.5904456652537;33.6712428457764;5.56851320890413;6.04994927988268
31;BGM0084;17.0452007789892;10.7105825791345;18.2947747829826;17.6238673986079;1.8580116809932;1.85224385942882;32.7952362388206;32.5925931780908;5.04408383583705;3.28415906102741
32;BGM0087;18.961725616517;21.6560653758473;22.7428382361248;22.4607581017692;1.93700043390435;1.92657535616694;33.5258277244236;33.3628621891423;5.77726188380338;6.28859852713704
33;BGM0088;18.1527384799316;19.2692653086358;20.088596100071;20.5196577518351;1.96661863480616;1.98071204133595;34.0084321240992;34.0854681869421;5.50506875134966;5.86514789405203
34;BGM0090;18.0110258396462;16.9610570313683;21.0032509089268;20.2580098765632;1.90339571295134;1.89284067157892;35.1095979789177;35.2541672607469;5.48021017761438;5.27212290549428
35;BGM0091;18.3754669534008;20.1538671337699;22.6561807509837;23.8249136043268;2.17694677300096;2.22066857851982;33.449991611319;33.469650060968;5.56395141562917;6.0091815241414
36;BGM0093;19.6718601135005;28.1162641819035;25.3491046584653;25.6905545864491;2.02894396123687;2.02174747121745;35.6846946018268;35.7435609377058;6.18284794677066;8.6533780633755
37;BGM0096;18.6895108287105;21.8612423676926;27.3541236045724;29.998734231712;2.01920100688039;2.04035931314073;33.8112244897374;33.708630869502;5.71738181488407;6.45056822236099
38;BGM0116;18.4660859342317;22.723012974957;24.6840034382516;26.8335196930802;2.01266681862245;2.03171700735915;34.9827402673672;35.4718476155625;5.65996699258596;7.08190605235224
39;BGM0119;17.8593082964084;14.8066898510867;21.1344444665341;20.7133185090329;1.84091027862432;1.82174142072346;35.9689929623752;36.1194166064053;5.46405018143877;4.74125505684154
40;BGM0123;17.330415514205;14.7301342485373;15.2731474221737;13.8499383683067;1.80478173293781;1.78635255648354;30.7344249316126;29.9168846913235;5.0660659285079;3.98820716409096
41;BGM0124;18.1004438547852;18.4973276612974;17.0203087592345;16.7004795705268;1.70152819110112;1.68072439052878;33.6619636996077;34.0602874996498;5.44001363409928;5.49440214369332
42;BGM0126;18.2816649889405;16.9629128316106;22.1973322452191;21.4627484651456;1.74157583307685;1.70853637183285;33.323290184854;32.7556981222225;5.5776369128269;5.14656698903889
43;BGM0130;18.4231832585448;20.0354437562376;22.945326554427;24.2795284169503;2.19391765867565;2.24109355758631;33.5740210440568;33.6246460902248;5.58523164316575;5.99535188592868
44;BGM0132;17.0712709190708;14.2131949590702;17.2760657778154;16.0685886447199;1.97639151379618;1.98046487366745;30.5549138992194;29.7531880034447;5.04913259115947;3.96037396258276
45;BGM0133;18.2314330542198;15.2690032129471;19.6017432273541;17.9788732871837;1.7798289930196;1.76064177570287;33.5913011267188;33.0542881405107;5.56494082359719;4.63962185405184
46;BGM0134;18.0953160182649;18.0664735159122;21.3898344354463;21.58593638184;2.10196142274551;2.11783723766502;34.8593930996245;35.0572974556214;5.49933848867771;5.67565058655685
47;BGM0137;18.3198341070679;16.5674595389986;20.5031571113437;18.8280062892524;1.81890644349253;1.79334877510125;32.7830423493387;32.1594566329119;5.55537264207469;4.88527553662478
48;BGM0140;18.439363114947;20.2110862087976;22.5212769027785;23.1962154104096;1.92639629732793;1.91770373528591;35.5608631839496;36.0500511291164;5.66066766670333;6.40065275786606
49;BGM0145;18.143312848789;21.2837611483788;21.035247951143;22.9103768010691;2.06982514560156;2.10770614203298;31.6488764486803;31.4505441259822;5.36272076221527;5.86246879681402
