CLONE;FRY.gebvs;FRY.gegvs;AGY.gebvs;AGY.gegvs;PLH.gebvs;PLH.gegvs;DMC.gebvs;DMC.gegvs;DRY.gebvs;DRY.gegvs
12;BGM0036;14.9244924370828;14.1736008732608;19.9440411660012;20.0464851705541;1.95634553394076;1.95881656828422;36.4291002122185;36.5267996555069;4.83272229921035;4.78435964931321
13;BGM0037;14.7082450073395;15.1378366515384;16.838683317079;16.7803841803046;1.79199699763022;1.78885318665337;34.9699360244556;35.2298454866585;4.55058785136642;4.81006090162566
14;BGM0044;17.2819983268328;18.7546301375195;22.1471198617122;22.2268645190643;1.95447217962217;1.94998370495324;34.4326152122989;34.3188775937269;5.58531076594912;5.80660397358499
15;BGM0046;17.6542811763097;23.5029787044749;21.1710052899234;21.6464458492887;2.1327656339295;2.14723012488761;34.7644416168755;34.7929212730592;5.73289182102023;7.0659901599123
16;BGM0048;16.6402273218212;18.7349709497072;21.6484226266198;21.5411260705606;2.09794824492811;2.09678101296221;35.0655275312455;35.1417190174581;5.3213467060812;5.7868924072556
17;BGM0050;16.1686542256579;20.9952022532135;20.1526994094217;20.4428523177048;1.86056189108245;1.85861380407757;34.3130858284204;34.0923196862654;5.18254934539995;6.24394620087814
18;BGM0052;15.7636773416241;15.6796490229475;18.136548908736;17.5784302740694;1.92357677090274;1.91896710641382;33.7100238361368;33.5262279272156;4.97521596157052;4.80921250785932
19;BGM0054;13.1665211180643;9.97533002014072;18.4805409850577;18.4344895777189;1.91111728711708;1.90715318950635;32.8517389584545;32.6689441052806;3.9619770941399;3.15751202384216
20;BGM0056;16.1819573998621;20.781036525088;20.2563483098517;20.553653688781;1.87898230144728;1.8771683261148;34.4605597713434;34.2506088381449;5.20181485999171;6.22750549903496
21;BGM0061;13.4391411201521;10.544846573861;17.3855860002371;17.3742832753253;2.01018306899587;2.01978667263512;36.0266022413216;36.1086188356401;4.14776790677504;3.55584929406624
22;BGM0062;13.4104485565454;10.8978011108569;12.6588650529589;11.7509771894618;1.78135046034674;1.7701218630638;31.1819107138829;30.7327069878201;3.71794268847021;2.58708344948402
23;BGM0065;15.2886419486701;14.0850275794121;18.5382906423674;17.697682914242;1.7922668298362;1.77751598658375;33.5153480603768;33.2534980249642;4.75876073517497;4.33589473459362
24;BGM0067;13.1155155209526;12.4886585417935;15.0701211676292;14.5293723348491;1.9315697229364;1.93392886753152;31.098884639323;30.7151061829286;3.65753392117345;2.94028198405176
25;BGM0069;16.3647025056439;17.0364497575294;21.202172153422;21.7366003265788;2.07665997129496;2.07385876295047;35.329087729134;35.5420411375447;5.25981520994668;5.56359841264222
26;BGM0070;13.3748331804233;10.7045115835072;16.5339589471575;16.0700601872214;1.90105031332459;1.89106924858037;35.929637509353;35.9559323491803;4.14297912318998;3.55310307931648
27;BGM0073;13.4195689262505;10.7546130420783;16.5547946949944;16.0829710535408;1.90874514513679;1.89913451505748;35.9407271023046;35.9950036188123;4.16039573195505;3.59201738349901
28;BGM0076;14.9893614839199;13.2294540195269;20.4716035052586;20.434140021316;1.8115222910349;1.8000094519581;36.5660637657759;36.8246779119613;4.87020555376461;4.6607364988145
29;BGM0080;16.4341519387801;17.2737133820006;21.1854749645926;21.6947529109606;2.06567067661148;2.06094318674864;35.5013469490123;35.7287035109617;5.28746574632073;5.60315929570065
30;BGM0083;15.194911332418;16.0498736498261;21.4784265292397;22.1662232437114;2.16361593070051;2.19026489359895;33.5656679680022;33.5060233339512;4.71116784869497;4.92595050956764
31;BGM0084;13.2076860122011;9.52280270960151;15.8121007517375;15.3416378175206;1.83095171221666;1.82742779367622;34.7342109923019;34.9190649189477;3.77131859455493;2.50107896967724
32;BGM0087;16.3343154222115;18.4442396783806;20.8467360353051;20.757716065371;1.91098905128829;1.90485857541832;33.5835264150101;33.4146093353454;5.15584198416861;5.51905229617029
33;BGM0088;15.1577947562342;16.9826108234376;19.0793096847791;19.540547444231;1.96259012427059;1.97252733224929;34.4473700804438;34.42097792393;4.77652294717094;5.26989540704366
34;BGM0090;14.5726187373031;13.2313210111264;18.1738453286528;17.7173384523253;1.86691089528252;1.86050033498397;35.3003114619594;35.3516327262948;4.58746641346435;4.31897545067108
35;BGM0091;15.1913287507508;15.9996015582027;21.1998594295301;21.8547212283893;2.1534799061071;2.17978338054056;33.4919391860811;33.4071524114092;4.71990335691265;4.92429460263645
36;BGM0093;17.9947048871758;25.2601351034205;24.2011761316609;24.5577496919101;1.9975814730732;1.9941681186552;35.5696468483676;35.504925837954;6.00360501656697;7.74677208946115
37;BGM0096;15.9121275127304;18.4181587124854;26.4317550516568;27.7527608756419;1.99683126726832;2.00959463262333;34.3987302648456;34.2924787815841;5.09725813897438;5.62565960874179
38;BGM0116;15.5682774232918;18.6097126713305;23.0514850267613;24.1022506339033;1.98448543705289;1.99456117717886;35.0584362093108;35.1845551657768;4.97242539814525;5.8596501123502
39;BGM0119;14.3829648732562;12.4239540199085;18.6681502083967;18.4435082300486;1.80739108715268;1.79661875451746;36.242134515224;36.3082648406092;4.58784325746957;4.2146061478191
